Scenario,Environment,Interference,Time,True_X,True_Y,True_Z,Est_X,Est_Y,Est_Z,Error
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,0.0,0.000,0.000,100.000,17.312,1.432,99.487,17.379
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,1.0,19.999,0.200,100.000,30.715,1.260,99.341,10.789
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,2.0,39.989,0.800,100.000,45.395,-0.086,99.390,5.512
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,3.0,59.964,1.799,100.000,60.284,0.541,98.795,1.772
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,4.0,79.915,3.198,100.000,77.661,0.298,100.791,3.757
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,5.0,99.833,4.996,100.000,97.256,1.529,100.877,4.408
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,6.0,119.712,7.191,100.000,116.162,3.831,99.309,4.937
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,7.0,139.543,9.784,100.000,137.606,5.736,99.362,4.533
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,8.0,159.318,12.773,100.000,156.397,8.690,98.965,5.126
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,9.0,179.030,16.156,100.000,176.261,11.776,98.179,5.493
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,10.0,198.669,19.933,100.000,196.321,16.609,99.156,4.157
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,11.0,218.230,24.103,100.000,216.338,20.049,99.342,4.522
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,12.0,237.703,28.662,100.000,235.849,24.335,98.625,4.904
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,13.0,257.081,33.610,100.000,255.653,28.041,99.196,5.805
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,14.0,276.356,38.945,100.000,275.514,32.459,98.420,6.728
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,15.0,295.520,44.664,100.000,295.406,38.418,98.238,6.491
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,16.0,314.567,50.765,100.000,315.070,44.684,97.498,6.594
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,17.0,333.487,57.245,100.000,334.121,52.185,97.335,5.754
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,18.0,352.274,64.103,100.000,352.488,58.908,97.614,5.721
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,19.0,370.920,71.335,100.000,369.759,66.929,99.277,4.614
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,20.0,389.418,78.939,100.000,388.093,74.523,98.447,4.865
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,21.0,407.760,86.911,100.000,407.168,82.933,98.646,4.244
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,22.0,425.939,95.248,100.000,425.501,91.394,97.856,4.432
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,23.0,443.948,103.948,100.000,443.613,99.185,97.195,5.537
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,24.0,461.779,113.005,100.000,461.723,109.162,97.805,4.426
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,25.0,479.426,122.417,100.000,480.358,119.303,99.472,3.293
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,26.0,496.880,132.181,100.000,498.234,128.392,99.706,4.034
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,27.0,514.136,142.291,100.000,515.543,137.947,98.908,4.695
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,28.0,531.186,152.745,100.000,532.460,148.294,98.651,4.823
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,29.0,548.024,163.537,100.000,549.455,159.740,98.186,4.445
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,30.0,564.642,174.664,100.000,566.679,169.964,98.771,5.268
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,31.0,581.035,186.122,100.000,582.607,181.910,98.790,4.655
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,32.0,597.195,197.904,100.000,599.140,194.059,99.286,4.367
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,33.0,613.117,210.008,100.000,614.719,206.289,99.156,4.137
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,34.0,628.793,222.427,100.000,629.455,218.534,98.844,4.115
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,35.0,644.218,235.158,100.000,645.756,231.157,97.435,4.995
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,36.0,659.385,248.194,100.000,660.981,244.471,98.515,4.315
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,37.0,674.288,261.531,100.000,676.944,257.730,98.545,4.860
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,38.0,688.921,275.164,100.000,690.464,272.050,98.854,3.660
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,39.0,703.279,289.086,100.000,705.571,286.840,99.841,3.213
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,40.0,717.356,303.293,100.000,719.716,300.913,100.223,3.359
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,41.0,731.146,317.779,100.000,732.578,315.155,100.040,2.989
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,42.0,744.643,332.537,100.000,745.068,328.908,99.143,3.754
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,43.0,757.843,347.563,100.000,759.158,344.501,99.644,3.351
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,44.0,770.739,362.849,100.000,772.376,360.331,99.569,3.035
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,45.0,783.327,378.390,100.000,784.767,375.948,98.755,3.097
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,46.0,795.602,394.180,100.000,796.298,391.009,99.074,3.376
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,47.0,807.558,410.212,100.000,808.923,407.684,99.819,2.879
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,48.0,819.192,426.480,100.000,820.116,424.849,99.619,1.913
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,49.0,830.497,442.977,100.000,831.706,441.698,100.159,1.767
OPEN_AREA_NORMAL,OPEN_AREA,NORMAL,50.0,841.471,459.698,100.000,844.263,458.504,100.864,3.157
